cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
6,cluster-chiot-socialisation,PILIER,socialiser-son-chiot,,Socialiser son chiot : tout se joue dans les premières semaines,Socialisation du chiot : le guide complet,"Tout se joue avant 3 mois. Le guide complet pour socialiser son chiot en douceur, sans le forcer : période sensible, méthode, vaccins, erreurs à éviter.","Le guide central de la socialisation du chiot : pourquoi la fenêtre est si courte et comment accompagner son chiot pour en faire un chien confiant, sans jamais le forcer.","cluster-chiot-socialisation, pilier, chiot, socialisation, comportement_canin",articles/cluster-6-chiot-socialisation/socialiser-son-chiot.html,PROMPTS-IMAGES_C6_chiot-socialisation.md,14,3
6,cluster-chiot-socialisation,SAT10,chiot-peureux-craintif,socialiser-son-chiot,Mon chiot a peur : comprendre et l'aider sans le forcer,Chiot peureux : que faire pour l'aider,"Mon chiot a peur : comment comprendre sa crainte et l'aider sans jamais le forcer ni le punir, et quand consulter un vétérinaire comportementaliste.","Aider un chiot peureux avec douceur, sans le forcer ni le punir : reconnaître la peur, avancer à petits pas et savoir quand demander l'avis du vétérinaire.","cluster-chiot-socialisation, satellite, chiot, socialisation, peur",articles/cluster-6-chiot-socialisation/chiot-peureux-craintif.html,PROMPTS-IMAGES_C6_chiot-socialisation.md,4,2
6,cluster-chiot-socialisation,SAT03,chiot-rencontre-autres-chiens,socialiser-son-chiot,"Faire rencontrer d'autres chiens à son chiot, en douceur",Chiot et autres chiens : réussir les rencontres,"Faire rencontrer d'autres chiens à son chiot : comment réussir des rencontres canines positives et sûres, en privilégiant la qualité au nombre.","Réussir les rencontres canines de son chiot, en douceur et en sécurité : bien choisir les partenaires, lire les signaux et ne jamais forcer.","cluster-chiot-socialisation, satellite, chiot, socialisation, comportement_canin",articles/cluster-6-chiot-socialisation/chiot-rencontre-autres-chiens.html,PROMPTS-IMAGES_C6_chiot-socialisation.md,4,2
6,cluster-chiot-socialisation,SAT09,ecole-du-chiot-cours-collectifs,socialiser-son-chiot,L'école du chiot : à quoi servent les cours collectifs,École du chiot : intérêt et comment choisir,"L'école du chiot : à quoi servent les cours collectifs, quels bénéfices pour la socialisation et comment reconnaître un bon cours pour son chiot.","Comprendre l'intérêt des cours collectifs pour chiots et savoir choisir un bon cours : rencontres encadrées, environnement nouveau et premières bases.","cluster-chiot-socialisation, satellite, chiot, socialisation, education",articles/cluster-6-chiot-socialisation/ecole-du-chiot-cours-collectifs.html,PROMPTS-IMAGES_C6_chiot-socialisation.md,4,2
6,cluster-chiot-socialisation,SAT11,erreurs-socialisation-chiot,socialiser-son-chiot,Socialisation du chiot : les erreurs à éviter,Erreurs de socialisation du chiot : le guide,"Les erreurs de socialisation du chiot à éviter : sous-socialisation, sur-socialisation et idées reçues démontées, avec le bon réflexe à chaque fois.","Sous-socialisation, sur-socialisation et fausses croyances : les faux pas à éviter pour offrir à son chiot un bon départ, sans forcer ni négliger.","cluster-chiot-socialisation, satellite, chiot, socialisation, prevention",articles/cluster-6-chiot-socialisation/erreurs-socialisation-chiot.html,PROMPTS-IMAGES_C6_chiot-socialisation.md,4,2
6,cluster-chiot-socialisation,SAT01,fenetre-socialisation-chiot,socialiser-son-chiot,La fenêtre de socialisation du chiot : la période à ne pas manquer,Fenêtre de socialisation du chiot : 3-14 semaines,"La fenêtre de socialisation du chiot s'étend d'environ 3 à 14 semaines. Comprendre cette période sensible pour ne rien manquer et agir tôt, en douceur.","La période sensible du chiot expliquée en détail : ce qui se joue de 3 à 14 semaines, pourquoi la fenêtre se referme et ce que cela change pour vous.","cluster-chiot-socialisation, satellite, chiot, socialisation, comportement_canin",articles/cluster-6-chiot-socialisation/fenetre-socialisation-chiot.html,PROMPTS-IMAGES_C6_chiot-socialisation.md,4,2
6,cluster-chiot-socialisation,SAT06,habituer-chiot-bruits,socialiser-son-chiot,Habituer son chiot aux bruits du quotidien,Habituer un chiot aux bruits : mode d'emploi,"Habituer son chiot aux bruits du quotidien, ménagers et urbains : la méthode d'exposition progressive et positive pour prévenir les peurs sonores.","Apprivoiser tôt les bruits du quotidien, par petites doses et associations positives, pour aider son chiot à rester serein face au bruit.","cluster-chiot-socialisation, satellite, chiot, socialisation, peur",articles/cluster-6-chiot-socialisation/habituer-chiot-bruits.html,PROMPTS-IMAGES_C6_chiot-socialisation.md,4,2
6,cluster-chiot-socialisation,SAT05,habituer-chiot-manipulation,socialiser-son-chiot,Habituer son chiot aux manipulations et aux contacts,"Habituer un chiot à être manipulé : pattes, oreilles","Habituer son chiot à être manipulé et touché partout, au brossage et à la contention douce : la méthode pour un chien facile à soigner et à toiletter.","Habituer son chiot aux contacts et aux manipulations, en douceur, pour qu'il se laisse soigner et brosser sans stress toute sa vie.","cluster-chiot-socialisation, satellite, chiot, socialisation, bien_etre",articles/cluster-6-chiot-socialisation/habituer-chiot-manipulation.html,PROMPTS-IMAGES_C6_chiot-socialisation.md,4,2
6,cluster-chiot-socialisation,SAT04,habituer-chiot-personnes-inconnues,socialiser-son-chiot,"Habituer son chiot aux gens : inconnus, enfants, visiteurs",Habituer un chiot aux personnes : la méthode,"Habituer son chiot aux gens, aux enfants et aux visiteurs : la méthode douce pour lui offrir une grande variété d'humains sans jamais le brusquer.","Offrir à son chiot une belle variété de rencontres humaines, positivement et sans le forcer, pour en faire un chien confiant avec tout le monde.","cluster-chiot-socialisation, satellite, chiot, socialisation, comportement_canin",articles/cluster-6-chiot-socialisation/habituer-chiot-personnes-inconnues.html,PROMPTS-IMAGES_C6_chiot-socialisation.md,4,2
6,cluster-chiot-socialisation,SAT08,habituer-chiot-veterinaire-soins,socialiser-son-chiot,"Préparer son chiot au vétérinaire et aux soins, sans stress",Habituer un chiot au vétérinaire : la préparation,"Préparer son chiot au vétérinaire et aux soins sans stress : visites plaisir, habituation à la table d'examen et aux gestes, dès le plus jeune âge.","Faire du vétérinaire et des soins une expérience positive dès le départ, pour un chiot serein en consultation et facile à soigner.","cluster-chiot-socialisation, satellite, chiot, socialisation, prevention",articles/cluster-6-chiot-socialisation/habituer-chiot-veterinaire-soins.html,PROMPTS-IMAGES_C6_chiot-socialisation.md,3,2
